epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,9146.22,2.39573,2.91498,2.81673,0.07531,0.31818,0.09464,0.03723,2.4689,2.97605,3.05638,0.00161192,0.00161192,0.00161192
100,9229.82,2.39741,2.88325,2.81683,0.07387,0.31818,0.1093,0.05054,2.41215,2.91088,2.95322,0.00160796,0.00160796,0.00160796
101,9317.49,2.36112,2.90831,2.78001,0.10478,0.27273,0.11345,0.04628,2.42843,2.88223,2.96031,0.001604,0.001604,0.001604
102,9376.53,2.50996,2.98725,2.8776,0.09784,0.27273,0.1091,0.04645,2.45768,2.78474,2.99925,0.00160004,0.00160004,0.00160004
103,9455.45,2.4511,2.98128,2.83331,0.08152,0.36364,0.09385,0.03388,2.42774,2.74397,2.99642,0.00159608,0.00159608,0.00159608
104,9576.97,2.46638,2.97614,2.81615,0.0525,0.5,0.07144,0.02224,2.4496,3.01509,3.06248,0.00159212,0.00159212,0.00159212
105,9658,2.4221,2.8823,2.80059,0.05593,0.5,0.06612,0.02144,2.48662,3.16017,3.04111,0.00158816,0.00158816,0.00158816
106,9759.57,2.40074,2.88808,2.76878,0.05918,0.40909,0.06021,0.02149,2.4961,3.17769,3.04273,0.0015842,0.0015842,0.0015842
107,9834.13,2.51107,2.91821,2.87538,0.08273,0.40909,0.06068,0.0203,2.45844,2.93368,3.03994,0.00158024,0.00158024,0.00158024
108,9918.44,2.4256,2.91975,2.85841,0.06315,0.5,0.06479,0.02077,2.45024,2.80457,3.03614,0.00157628,0.00157628,0.00157628
109,9987.18,2.42886,2.99655,2.80241,0.04474,0.54545,0.0544,0.0202,2.42448,2.74591,3.03844,0.00157232,0.00157232,0.00157232
110,10063.2,2.44781,2.92926,2.77014,0.02843,0.63636,0.04889,0.01658,2.42822,2.80319,3.04552,0.00156836,0.00156836,0.00156836
111,10150.3,2.58519,2.92758,2.85432,0.0263,0.68182,0.03754,0.01163,2.46311,3.15187,3.09,0.0015644,0.0015644,0.0015644
112,10242.4,2.39223,3.01287,2.79328,0.03267,0.54545,0.03262,0.01011,2.47555,3.54728,3.16342,0.00156044,0.00156044,0.00156044
113,10307.1,2.35282,2.87476,2.74734,0.04155,0.22727,0.03719,0.01219,2.44717,3.84218,3.17238,0.00155648,0.00155648,0.00155648
114,10369.8,2.44854,2.83575,2.79756,0.06234,0.40909,0.05396,0.01859,2.39532,2.89454,3.03461,0.00155252,0.00155252,0.00155252
115,10442.2,2.48041,2.86044,2.80014,0.0643,0.45455,0.05599,0.0206,2.54983,2.74316,3.07937,0.00154856,0.00154856,0.00154856
116,10558.9,2.38796,2.88009,2.78117,0.06767,0.45455,0.07609,0.02395,2.56673,2.73923,3.10122,0.0015446,0.0015446,0.0015446
117,10618.9,2.45015,2.89247,2.76248,0.10081,0.40909,0.08006,0.02385,2.56911,2.87911,3.14421,0.00154064,0.00154064,0.00154064
118,10734.8,2.35353,2.83277,2.76318,0.08077,0.36343,0.06274,0.01948,2.55845,3.18233,3.23733,0.00153668,0.00153668,0.00153668
119,10835.8,2.37459,2.85058,2.8515,0.09361,0.40909,0.06398,0.01896,2.51952,3.27381,3.20428,0.00153272,0.00153272,0.00153272
120,10920.9,2.42025,2.80613,2.78185,0.07242,0.31818,0.05158,0.01563,2.52521,3.52793,3.24796,0.00152876,0.00152876,0.00152876
121,11005,2.44561,2.88644,2.72572,0.04686,0.27273,0.03144,0.00974,2.55026,4.35032,3.39482,0.0015248,0.0015248,0.0015248
122,11063,2.40746,2.82765,2.82463,0.06506,0.40909,0.04512,0.01132,2.56704,3.43953,3.34811,0.00152084,0.00152084,0.00152084
123,11155.6,2.43548,2.9295,2.83082,0.08323,0.5,0.06948,0.01825,2.66443,2.92097,3.18603,0.00151688,0.00151688,0.00151688
124,11242.6,2.46647,2.82715,2.78842,0.07509,0.40909,0.06474,0.02176,2.67075,2.81961,3.11211,0.00151292,0.00151292,0.00151292
125,11341.1,2.38327,2.94779,2.73736,0.11127,0.40909,0.09977,0.03035,2.63782,2.68319,3.12954,0.00150896,0.00150896,0.00150896
126,11421.3,2.40257,2.85534,2.75606,0.08861,0.45455,0.09849,0.03284,2.57161,2.66484,3.08245,0.001505,0.001505,0.001505
127,11539,2.4333,2.73656,2.70394,0.08953,0.40909,0.07726,0.02633,2.57238,2.74654,3.2101,0.00150104,0.00150104,0.00150104
128,11640.3,2.46523,2.84506,2.79706,0.11238,0.31818,0.09724,0.02705,2.65309,2.91973,3.29754,0.00149708,0.00149708,0.00149708
129,11726.2,2.46526,2.7981,2.83839,0.08348,0.5,0.10846,0.03301,2.64224,2.90321,3.20547,0.00149312,0.00149312,0.00149312
130,11798.1,2.35299,2.90955,2.74798,0.06892,0.59091,0.08259,0.02234,2.53308,2.84712,3.07667,0.00148916,0.00148916,0.00148916
131,11892.9,2.41885,2.81809,2.751,0.0229,0.54545,0.0393,0.01106,2.45387,2.92466,3.06383,0.0014852,0.0014852,0.0014852
132,11995.6,2.51452,3.0038,2.74847,0.01196,0.90909,0.03177,0.00889,2.40051,2.9994,2.98787,0.00148124,0.00148124,0.00148124
133,12065.4,2.44946,2.91451,2.8177,0.01411,0.81818,0.02848,0.00695,2.33253,3.29672,2.9595,0.00147728,0.00147728,0.00147728
134,12147.5,2.37068,2.87042,2.733,0.01776,0.77273,0.04007,0.01029,2.39166,3.36068,3.01693,0.00147332,0.00147332,0.00147332
135,12224.7,2.43805,2.96537,2.77235,0.02705,0.5,0.04092,0.01155,2.34953,4.94565,3.07456,0.00146936,0.00146936,0.00146936
136,12319.2,2.42493,2.97347,2.81178,0.03696,0.40909,0.03664,0.0099,2.35066,4.21514,3.06195,0.0014654,0.0014654,0.0014654
137,12398.2,2.35785,2.85197,2.78219,0.04108,0.40909,0.03618,0.0118,2.35845,3.88545,3.07032,0.00146144,0.00146144,0.00146144
138,12524.7,2.40337,2.94665,2.77711,0.07699,0.45455,0.05814,0.01639,2.37774,3.15263,3.05546,0.00145748,0.00145748,0.00145748
139,12604.7,2.41563,2.91443,2.75103,0.11943,0.36364,0.08033,0.02648,2.32738,2.99448,2.98617,0.00145352,0.00145352,0.00145352
140,12693.5,2.31936,2.88089,2.72076,0.13137,0.40909,0.08137,0.02644,2.34801,2.92158,2.97935,0.00144956,0.00144956,0.00144956
141,12784,2.3698,2.8853,2.7547,0.09104,0.40909,0.08217,0.02998,2.38125,2.77993,2.96985,0.0014456,0.0014456,0.0014456
